%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1538768543900943559,4115,1538768543900377671,map,110.77355957,-21.792886734,51.461353302,0.0833435023729,-0.0299701166571,0.250129761846,-0.964152869082
1538768544157059815,4116,1538768544156503623,map,114.159057617,-23.0588588715,51.6484680176,0.0833435023729,-0.0299701166571,0.250129761846,-0.964152869082
1538768544408071943,4117,1538768544407415175,map,118.510574341,-24.4854602814,51.7595024109,0.127036468605,-0.051367125886,0.243401417585,-0.960197325522
1538768544641554343,4118,1538768544640807175,map,122.006439209,-25.4951343536,51.7086906433,0.142666762176,-0.057949412053,0.216245643106,-0.964119226263
1538768544860974247,4119,1538768544860248423,map,125.584632874,-26.3798999786,51.5771598816,0.160298370604,-0.059441193672,0.169157816987,-0.970647623924
1538768545110711303,4120,1538768545106366855,map,129.941040039,-27.1644363403,51.3965568542,0.160298370604,-0.059441193672,0.169157816987,-0.970647623924
1538768545345922471,4121,1538768545342511943,map,134.072647095,-27.5564842224,51.1849861145,0.245452071042,-0.0580063860742,0.108539106904,-0.961565287575
1538768545598495527,4122,1538768545597128007,map,138.67741394,-27.604839325,50.8647003174,0.245452071042,-0.0580063860742,0.108539106904,-0.961565287575
1538768545865295271,4123,1538768545864586119,map,142.971176147,-27.2485351563,50.541595459,0.293275444687,-0.0317224982868,0.0460587296329,-0.954390795257
1538768546094687687,4124,1538768546094246727,map,147.31791687,-26.4423027039,50.2413215637,0.317147673304,-0.00339434051176,-0.0383309780652,-0.947595149782
1538768546349774919,4125,1538768546348184359,map,151.981155396,-25.0317459106,49.9111366272,0.317147673304,-0.00339434051176,-0.0383309780652,-0.947595149782
1538768546626923239,4126,1538768546625972359,map,156.547576904,-23.0037670135,49.5642967224,0.331868849374,0.0375110068149,-0.134510230509,-0.932932467583
1538768546853804647,4127,1538768546849681447,map,160.238754272,-20.84948349,49.3002929688,0.33120871699,0.0715201549119,-0.202196699494,-0.918859155663
1538768547117812103,4128,1538768547116939559,map,164.646972656,-17.4446105957,49.0563850403,0.33120871699,0.0715201549119,-0.202196699494,-0.918859155663
1538768547351139751,4129,1538768547350542311,map,168.081069946,-13.9649972916,48.8942375183,0.33202105493,0.115840202303,-0.29315295117,-0.88904691318
1538768547604105991,4130,1538768547603598791,map,171.105545044,-10.0932512283,48.7227630615,0.34660293353,0.16686491981,-0.369352632145,-0.845932112011
1538768547842061799,4131,1538768547840832391,map,173.697982788,-5.82068538666,48.5292129517,0.337116533985,0.200547255612,-0.440660306483,-0.80743528228
1538768548096209831,4132,1538768548095358119,map,175.940155029,-0.797549009323,48.2940940857,0.337116533985,0.200547255612,-0.440660306483,-0.80743528228
1538768548336980167,4133,1538768548335872231,map,177.38899231,4.07958221436,48.0803184509,0.319979640049,0.237561278347,-0.515949825708,-0.758270035236
1538768548545802119,4134,1538768548545341031,map,178.10369873,8.28164958954,47.9640197754,0.261524018959,0.253025718725,-0.599640949996,-0.712750941255
1538768548803962599,4135,1538768548803356039,map,178.370727539,14.2633123398,47.9703292847,0.261524018959,0.253025718725,-0.599640949996,-0.712750941255
1538768549040742119,4136,1538768549039609895,map,178.056228638,19.328748703,48.1333465576,0.149993957217,0.222637003668,-0.692572570223,-0.669535519873
1538768549302481287,4137,1538768549301691815,map,177.34703064,24.6682109833,48.5242118835,0.149993957217,0.222637003668,-0.692572570223,-0.669535519873
1538768549540933287,4138,1538768549540278759,map,176.596603394,29.0291290283,48.9881820679,0.0234566273534,0.136341167532,-0.747956031128,-0.649170738842
1538768549804936615,4139,1538768549797962375,map,175.713653564,34.0421676636,49.6378173828,-0.0603202149726,0.0424888278757,-0.763445089761,-0.641644579259
1538768550058370791,4140,1538768550057668423,map,174.924667358,39.0036735535,50.2610015869,-0.0603202149726,0.0424888278757,-0.763445089761,-0.641644579259
1538768550317712935,4141,1538768550317071143,map,174.265075684,43.9247245789,50.7737579346,-0.11189895365,-0.0383316042028,-0.772427892771,-0.623990755348
1538768550553771079,4142,1538768550550233959,map,173.83291626,48.0891113281,51.1269187927,-0.11189895365,-0.0383316042028,-0.772427892771,-0.623990755348
1538768550815507399,4143,1538768550812523303,map,173.439407349,53.333984375,51.482093811,-0.126666243796,-0.0819957803658,-0.771442340876,-0.618149714381
1538768551045848711,4144,1538768551045380519,map,173.18762207,57.8462142944,51.6324615479,-0.107267998164,-0.111127737745,-0.745507383015,-0.648354027012
1538768551303715431,4145,1538768551303027175,map,173.060058594,62.3328018188,51.60313797,-0.107267998164,-0.111127737745,-0.745507383015,-0.648354027012
1538768551549835911,4146,1538768551549091111,map,173.070068359,67.2484741211,51.4600143433,-0.1050763893,-0.125599060204,-0.733741589657,-0.659399050724
1538768551778308775,4147,1538768551777765735,map,173.18031311,71.4060974121,51.2520141602,-0.1050763893,-0.125599060204,-0.733741589657,-0.659399050724
1538768552036304679,4148,1538768552035204679,map,173.401901245,76.3236846924,50.9326248169,-0.0783337270333,-0.106107439025,-0.727916300044,-0.67286172333
1538768552247802791,4149,1538768552246960231,map,173.634124756,80.4963226318,50.6331138611,-0.0402889220412,-0.0712504153904,-0.717413752353,-0.691822006734
1538768552487723367,4150,1538768552486804807,map,173.919555664,85.0402603149,50.3102264404,-0.0402889220412,-0.0712504153904,-0.717413752353,-0.691822006734
1538768552718323431,4151,1538768552717237831,map,174.179733276,89.2297058105,50.0481071472,-0.00246667578254,-0.0190859582146,-0.714595655971,-0.699272972577
1538768552952933831,4152,1538768552952543111,map,174.388031006,93.8022232056,49.8137054443,-0.00246667578254,-0.0190859582146,-0.714595655971,-0.699272972577
1538768553194820263,4153,1538768553191757959,map,174.444229126,98.365196228,49.6285171509,0.0549225738257,0.0588166443508,-0.722376942699,-0.686801038066
1538768553438887559,4154,1538768553437868295,map,174.248596191,103.246665955,49.4729652405,0.0878588994576,0.107144907796,-0.731335538188,-0.667794214637
1538768553703743591,4155,1538768553700761959,map,173.70085144,108.11151886,49.3187065125,0.129182537546,0.169204417783,-0.7433217059,-0.634156588339
