%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1536693546875267032,5232,1536693546874020504,,1.71993990775,1.5865158448,0.0,0.0,0.0,0.0
1536693547333432952,5233,1536693547333186904,,1.70187756812,1.59797756025,0.0,0.0,0.0,0.0
1536693547899547896,5234,1536693547896999512,,1.68616295653,1.6129083174,0.0,0.0,0.0,0.0
1536693548490144984,5235,1536693548489886264,,1.67480365854,1.62857997743,0.0,0.0,0.0,0.0
1536693549003304952,5236,1536693549002552120,,1.66458847585,1.63913479351,0.0,0.0,0.0,0.0
1536693549391732600,5237,1536693549391451640,,1.65835257002,1.64654753294,0.0,0.0,0.0,0.0
1536693549644813560,5238,1536693549644554904,,1.65733323691,1.6504835955,0.0,0.0,0.0,0.0
1536693550093457912,5239,1536693550093096056,,1.65559688048,1.6595245513,0.0,0.0,0.0,0.0
1536693550723388248,5240,1536693550722818712,,1.65433892113,1.67742869955,0.0,0.0,0.0,0.0
1536693551097808920,5241,1536693551097013912,,1.65230241995,1.68734098442,0.0,0.0,0.0,0.0
1536693551579195608,5242,1536693551578913240,,1.65690281152,1.69636197763,0.0,0.0,0.0,0.0
1536693552090375064,5243,1536693552090050264,,1.66453554778,1.70532612305,0.0,0.0,0.0,0.0
1536693552693836088,5244,1536693552693171512,,1.675333642,1.71010836287,0.0,0.0,0.0,0.0
1536693553082580088,5245,1536693553081394168,,1.68093837963,1.71133739155,0.0,0.0,0.0,0.0
1536693553648295960,5246,1536693553647586456,,1.68357028734,1.70804631604,0.0,0.0,0.0,0.0
1536693554121309336,5247,1536693554120108760,,1.68115087946,1.70435111602,0.0,0.0,0.0,0.0
1536693554632560568,5248,1536693554631974616,,1.67827272626,1.70241779949,0.0,0.0,0.0,0.0
1536693555073197656,5249,1536693555071149624,,1.67294500253,1.70222096756,0.0,0.0,0.0,0.0
1536693555576027736,5250,1536693555575289336,,1.66919056196,1.70570256904,0.0,0.0,0.0,0.0
1536693555935584440,5251,1536693555935092184,,1.66656663788,1.7091988944,0.0,0.0,0.0,0.0
1536693556545516568,5252,1536693556545178136,,1.66580004132,1.71357722576,0.0,0.0,0.0,0.0
1536693557144064344,5253,1536693557143681048,,1.66859007626,1.71794973256,0.0,0.0,0.0,0.0
1536693557580422648,5254,1536693557577453560,,1.66997042741,1.71855960603,0.0,0.0,0.0,0.0
1536693558034542552,5255,1536693558032390200,,1.66880710813,1.71564179637,0.0,0.0,0.0,0.0
1536693558338253304,5256,1536693558333950008,,1.66652379159,1.71196345801,0.0,0.0,0.0,0.0
1536693558854941272,5257,1536693558854499096,,1.66174380554,1.70679802806,0.0,0.0,0.0,0.0
1536693559274368984,5258,1536693559273030072,,1.65432985455,1.70123657169,0.0,0.0,0.0,0.0
1536693559730788504,5259,1536693559729810552,,1.64873556859,1.69709887198,0.0,0.0,0.0,0.0
1536693560219946072,5260,1536693560218908408,,1.64364647623,1.69338544353,0.0,0.0,0.0,0.0
1536693560848482008,5261,1536693560846245368,,1.636024726,1.68598444057,0.0,0.0,0.0,0.0
1536693561409510392,5262,1536693561393477368,,1.63183577595,1.68417144527,0.0,0.0,0.0,0.0
1536693561890109112,5263,1536693561889505848,,1.628797753,1.68306202421,0.0,0.0,0.0,0.0
