%time,field.header.seq,field.header.stamp,field.header.frame_id,field.airspeed,field.groundspeed,field.heading,field.throttle,field.altitude,field.climb
1539875881188668232,1914,1539875881188384168,,0.0,13.1424484253,274,0.469999998808,428.440002441,-0.343899726868
1539875881524967944,1915,1539875881521402280,,0.0,13.1679754257,275,0.449999988079,428.089996338,-1.06394386292
1539875882040169672,1916,1539875882039686728,,0.0,13.0848417282,278,0.330000013113,427.549987793,0.473709017038
1539875882333543176,1917,1539875882333112424,,0.0,13.0673303604,279,0.289999991655,427.009979248,-0.497982591391
1539875882816418376,1918,1539875882816053096,,0.0,13.1144189835,285,0.189999997616,425.639984131,-1.74683713913
1539875883295924744,1919,1539875883295473224,,0.0,13.1047058105,290,0.140000000596,423.630004883,-3.17434573174
1539875883689944936,1920,1539875883689014952,,0.0,13.3582420349,293,0.129999995232,421.269989014,-5.53539991379
1539875883972211720,1921,1539875883971730760,,0.0,13.6665124893,296,0.140000000596,419.459991455,-6.17391061783
1539875884439304712,1922,1539875884438563912,,0.0,14.4190168381,299,0.159999996424,416.410003662,-7.01690912247
1539875884788389544,1923,1539875884788036744,,0.0,14.9217844009,299,0.159999996424,414.16998291,-7.16454553604
1539875885152197256,1924,1539875885151850792,,0.0,15.4826850891,300,0.180000007153,411.949981689,-6.32130384445
1539875885544925768,1925,1539875885544534856,,0.0,15.9886655807,302,0.189999997616,409.779998779,-6.78331947327
1539875885754509224,1926,1539875885753563432,,0.0,16.1811199188,303,0.189999997616,408.579986572,-5.97132539749
1539875886144221800,1927,1539875886143742856,,0.0,16.545501709,303,0.20000000298,406.41998291,-6.12264633179
1539875886632152104,1928,1539875886631776328,,0.0,16.8940811157,302,0.219999998808,403.850006104,-5.02232074738
1539875887088462184,1929,1539875887088135560,,0.0,17.0252418518,301,0.319999992847,401.5,-6.00420427322
1539875887510733832,1930,1539875887509970760,,0.0,17.2354316711,305,0.469999998808,399.309997559,-6.09898853302
1539875887877584392,1931,1539875887877118632,,0.0,17.6975822449,304,0.569999992847,397.539978027,-7.14371538162
1539875888317056616,1932,1539875888316735464,,0.0,17.9455833435,302,0.629999995232,396.569976807,-4.53729295731
1539875888728154856,1933,1539875888727815496,,0.0,17.6082057953,304,0.639999985695,396.889984131,-0.938114523888
1539875889199862600,1934,1539875889199580456,,0.0,16.9676628113,306,0.629999995232,397.809997559,3.34258937836
1539875889504905192,1935,1539875889504478952,,0.0,16.4230041504,306,0.610000014305,398.779998779,3.78229284286
1539875889976895592,1936,1539875889976497960,,0.0,16.0132865906,307,0.579999983311,400.199981689,4.75024175644
1539875890336440744,1937,1539875890335470824,,0.0,15.2453975677,306,0.560000002384,401.309997559,4.59982347488
1539875890640579144,1938,1539875890639833384,,0.0,14.6724491119,307,0.490000009537,402.779998779,4.24561738968
1539875891020011176,1939,1539875891019530376,,0.0,14.5081186295,307,0.449999988079,404.299987793,6.3068113327
1539875891504942664,1940,1539875891504458760,,0.0,14.2447290421,307,0.430000007153,405.199981689,2.7455124855
1539875891866637608,1941,1539875891864848840,,0.0,14.1285467148,306,0.430000007153,405.549987793,2.73208355904
1539875892269712360,1942,1539875892269139816,,0.0,13.9846134186,306,0.409999996424,405.910003662,1.08901143074
1539875892627454120,1943,1539875892627024584,,0.0,13.988451004,307,0.419999986887,405.660003662,0.919751286507
1539875893007690504,1944,1539875893007153096,,0.0,14.3211154938,304,0.449999988079,405.239990234,-2.1496617794
1539875893431671496,1945,1539875893431257288,,0.0,14.3583402634,300,0.379999995232,406.109985352,0.102081537247
1539875893969464008,1946,1539875893968263400,,0.0,14.0644989014,303,0.360000014305,406.529998779,1.91745269299
1539875894289463656,1947,1539875894287584296,,0.0,13.9677934647,304,0.370000004768,406.389984131,0.223174899817
1539875894605851816,1948,1539875894605434024,,0.0,13.9564275742,301,0.379999995232,406.149993896,-0.929111599922
1539875894860626632,1949,1539875894860346376,,0.0,13.9955701828,298,0.389999985695,405.789978027,-0.69462543726
1539875895386534024,1950,1539875895386007240,,0.0,14.0769805908,300,0.430000007153,404.899993896,-1.63752698898
1539875895822154792,1951,1539875895818655016,,0.0,14.4291038513,302,0.479999989271,403.600006104,-3.72383260727
1539875896307011048,1952,1539875896306673576,,0.0,14.8635406494,300,0.509999990463,402.549987793,-3.09488415718
1539875896554387848,1953,1539875896553988072,,0.0,14.9706192017,300,0.519999980927,402.259979248,-2.86884570122
1539875896999390824,1954,1539875896999123304,,0.0,15.0931797028,300,0.519999980927,401.940002441,-0.985081911087
1539875897445830056,1955,1539875897444191496,,0.0,15.1047878265,300,0.519999980927,401.799987793,-0.100902460515
1539875897776316232,1956,1539875897776040040,,0.0,15.0693874359,301,0.519999980927,401.789978027,-1.06562876701
1539875898246165672,1957,1539875898242149576,,0.0,14.9644784927,301,0.519999980927,401.869995117,0.133742079139
1539875898691728776,1958,1539875898690393992,,0.0,14.9629106522,301,0.519999980927,401.989990234,0.7164478302
1539875899106923208,1959,1539875899106478984,,0.0,14.9485454559,301,0.509999990463,402.220001221,1.21713650227
1539875899381849448,1960,1539875899379608744,,0.0,14.9666519165,302,0.5,402.41998291,0.634343266487
1539875899781436328,1961,1539875899778053064,,0.0,14.9782428741,301,0.490000009537,402.589996338,0.418465703726
1539875900104317608,1962,1539875900103703368,,0.0,14.9714508057,300,0.490000009537,402.660003662,0.101212508976
1539875900572030408,1963,1539875900571681640,,0.0,14.9620885849,299,0.479999989271,402.869995117,1.30895733833
1539875900853141448,1964,1539875900846003624,,0.0,14.9676246643,299,0.469999998808,402.989990234,0.222319364548
